0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:48:03 +0900] "POST /onLineTest/subjectList.kos?work=onLineTest HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:48:04 +0900] "GET /ch09/test1.jsp HTTP/1.1" 200 3029
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:48:06 +0900] "POST /onLineTest/subjectList.kos?work=onLineTest HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:48:08 +0900] "GET /ch09/test1.jsp HTTP/1.1" 200 3029
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:48:14 +0900] "POST /onLineTest/subjectList.kos?work=onLineTest HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:51:11 +0900] "GET /onLineTest/index.jsp HTTP/1.1" 200 9724
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:51:11 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:51:19 +0900] "GET /member/login.kos?work=member&mem_id=test3&mem_pw=123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:51:19 +0900] "GET /onLineTest/loginAccount.jsp HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:51:31 +0900] "GET /onLineTest/reGoTest.jsp HTTP/1.1" 200 1777
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:51:32 +0900] "POST /onLineTest/subjectList.kos?work=onLineTest HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:53:18 +0900] "GET /onLineTest/reGoTest.jsp HTTP/1.1" 200 1777
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:53:19 +0900] "POST /onLineTest/subjectList.kos?work=onLineTest HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:57:40 +0900] "GET /onLineTest/index.jsp HTTP/1.1" 200 9724
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:57:47 +0900] "GET /member/login.kos?work=member&mem_id=test3&mem_pw=123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:57:47 +0900] "GET /onLineTest/loginAccount.jsp HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:58:09 +0900] "GET /onLineTest/testReceipt.jsp HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:58:09 +0900] "POST /onLineTest/subjectList.kos?work=onLineTest HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:58:38 +0900] "GET /onLineTest/examReceipt.kos?mem_id=test3&work=onLineTest&mem_name=Jame+Ghosling&exam_date=2019-07-04&sub_cd=1001 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:58:38 +0900] "GET /onLineTest/index.jsp HTTP/1.1" 200 9724
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:59:00 +0900] "GET /onLineTest/reGoTest.jsp HTTP/1.1" 200 1574
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:59:00 +0900] "POST /onLineTest/subjectList.kos?work=onLineTest HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [29/Jul/2019:16:52:10 +0900] "GET /onLineTest/reGoTest.jsp HTTP/1.1" 200 2138
0:0:0:0:0:0:0:1 - - [29/Jul/2019:16:52:10 +0900] "POST /onLineTest/subjectList.kos?work=onLineTest HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [29/Jul/2019:16:54:11 +0900] "GET /onLineTest/reGoTest.jsp HTTP/1.1" 200 2250
0:0:0:0:0:0:0:1 - - [29/Jul/2019:16:54:11 +0900] "POST /onLineTest/subjectList.kos?work=onLineTest HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [29/Jul/2019:16:55:28 +0900] "GET /onLineTest/reGoTest.jsp HTTP/1.1" 200 2250
0:0:0:0:0:0:0:1 - - [29/Jul/2019:16:55:28 +0900] "POST /onLineTest/subjectList.kos?work=onLineTest HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [29/Jul/2019:16:56:24 +0900] "GET /onLineTest/reGoTest.jsp HTTP/1.1" 200 2228
0:0:0:0:0:0:0:1 - - [29/Jul/2019:16:56:24 +0900] "POST /onLineTest/subjectList.kos?work=onLineTest HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [29/Jul/2019:16:56:49 +0900] "GET /onLineTest/reGoTest.jsp HTTP/1.1" 200 2227
0:0:0:0:0:0:0:1 - - [29/Jul/2019:16:56:49 +0900] "POST /onLineTest/subjectList.kos?work=onLineTest HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [29/Jul/2019:16:57:41 +0900] "GET /onLineTest/reGoTest.jsp HTTP/1.1" 200 2262
0:0:0:0:0:0:0:1 - - [29/Jul/2019:16:57:41 +0900] "POST /onLineTest/subjectList.kos?work=onLineTest HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [29/Jul/2019:16:58:28 +0900] "GET /onLineTest/reGoTest.jsp HTTP/1.1" 200 2281
0:0:0:0:0:0:0:1 - - [29/Jul/2019:16:58:28 +0900] "POST /onLineTest/subjectList.kos?work=onLineTest HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [29/Jul/2019:17:07:49 +0900] "GET /onLineTest/reGoTest.jsp HTTP/1.1" 200 3877
0:0:0:0:0:0:0:1 - - [29/Jul/2019:17:07:50 +0900] "POST /onLineTest/subjectList.kos?work=onLineTest HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [29/Jul/2019:17:08:18 +0900] "GET /ch09/test1.jsp HTTP/1.1" 200 3029
0:0:0:0:0:0:0:1 - - [29/Jul/2019:17:08:21 +0900] "GET /ch09/test2.jsp?dap1=1&cb=1 HTTP/1.1" 200 3298
